source_list,class_id,class_name,crew_count,rig,spinnaker,py_number,change,notes,remark,last_published_year,years_published
limited_list,,12 SQM SHARPIE,,,,1026,,,,2007,30
limited_list,13,470,2,S,C,973,,,,2010,31
limited_list,14,49ER,2,S,A,697,,,This number is for new rig,2018,22
limited_list,,AJAX N23,,,,1040,,,,1988,9
limited_list,,ALD LAPWING,,,,1248,,,,1985,7
limited_list,,ALLEGRO,,,,1012,,,,1982,2
limited_list,,ALPHA,,,,1182,,,,1983,6
limited_list,193,ASYMMETRIC INTERNATIONAL CANOE,1,S,A,866,,,,2017,15
limited_list,27,AVON SCOW,1,U,0,1456,,,,1983,3
limited_list,,BHYC HAVEN,,,,1097,,,,1983,4
limited_list,,BHYC SWAN,,,,1210,,,,1983,4
limited_list,37,BLAZE HALO,1,U,0,992,,,,2017,3
limited_list,,BONITO,,,,1191,,,,1982,3
limited_list,40,BOSS,2,S,A,847,,,,2007,11
limited_list,41,BOSUN,2,S,C,1198,,,,2010,31
limited_list,43,BRIGHTLINGSEA ONE DESIGN,3,S,C,1087,,,,1985,7
limited_list,45,BROADS ONE DESIGN,3,S,C,1087,,,,1987,12
limited_list,,BULL 7000,,,,860,,,,2006,4
limited_list,,BULLETT,,,,1087,,,,1984,4
limited_list,48,BYTE,1,U,0,1205,,,,2025,22
limited_list,,CATALAC 9M,,,,1248,,,,1989,7
limited_list,,CHALLENGE,,,,974,,,,1983,4
limited_list,,CHEETAH,,,,983,,,,1986,5
limited_list,58,CHERUB,2,S,A,903,,,,2018,40
limited_list,,CLUB 19,,,,1052,,,,2002,2
limited_list,,COLCHESTER OD,,,,1305,,,,1983,3
limited_list,477,COMET DUO,2,S,0,1168,,,,2025,11
limited_list,64,COMET XTRA,1,U,0,1210,,,,2023,0
limited_list,,CRISP OD,,,,1087,,,,1983,3
limited_list,87,DART 16 - 2 CREW WITH SPINNAKER,2,S,A,905,,,,2017,15
limited_list,105,DRASCOMBE LONGBOAT,2,S,0,1210,,,,1983,4
limited_list,,E22,,,,879,,,,1989,7
limited_list,,EMBASSY,,,,1419,,,,1986,6
limited_list,110,ESSEX ONE DESIGN,3,S,0,1078,,,,1983,9
limited_list,374,ESTUARY ONE DESIGN,3,S,0,1078,,,,1983,3
limited_list,112,EXPRESS,2,S,C,1135,,,,2002,22
limited_list,134,FIREBIRD,2,S,0,1201,,,,1987,7
limited_list,,FIRST CLASS 8,,,,918,,,,2002,2
limited_list,,FLEETWIND,,,,1268,,,,2003,27
limited_list,,FLIPPER SCOW,,,,1116,,,,1981,1
limited_list,139,FLYING DUTCHMAN,2,S,C,879,,,,2007,33
limited_list,143,FLYING JUNIOR,2,S,C,1163,,,,1989,10
limited_list,121,FORMULA 18,2,S,A,655,,,,2024,0
limited_list,,GARANA 601,,,,1068,,,,1989,9
limited_list,156,GULL,2,S,C,1385,,,,2024,31
limited_list,,H BOAT,,,,1015,,,,2002,3
limited_list,,HALF RATER,,,,1229,,,,1983,3
limited_list,163,HARRIER,1,U,0,1116,,,,1988,8
limited_list,168,HAWK 20,2,S,C,1115,,,,2013,6
limited_list,169,HERON,2,S,0,1345,,,,2014,39
limited_list,,HILBRE,,,,1248,,,,1984,4
limited_list,,HIRONDELLE,,,,993,,,,1983,3
limited_list,11,HOBIE 405,2,S,A,1089,,,,2010,15
limited_list,,HORNING REBEL OD,,,,1059,,,,1990,14
limited_list,183,HUNTER 707,3,S,C,925,,,,2006,5
limited_list,,HURRICANE 4.9,,,,781,,,,1998,8
limited_list,185,HURRICANE 5.9,2,S,0,699,,,,2013,7
limited_list,,HURRICANE 500,,,,785,,,,2002,9
limited_list,,HYDRA,,,,832,,,,1993,11
limited_list,188,ICON,2,S,0,976,,,,2025,
limited_list,192,ILLUSION,1,S,C,1294,,,,2024,3
limited_list,200,INTERNATIONAL 14,2,S,A,758,,,,2018,0
limited_list,194,INTERNATIONAL CANOE ONE DESIGN,1,S,A,905,,,,2013,34
limited_list,196,INTERNATIONAL MOTH,1,U,0,570,,,,2016,7
limited_list,197,INTERNATIONAL MOTH - NO FOILS,1,U,0,990,,,,2025,33
limited_list,,IROQUOIS,,,,984,,,,1997,2
limited_list,,IROQUOIS 30 MK2,,,,927,,,,1984,5
limited_list,,IROQUOIS MK1,,,,960,,,,2002,10
limited_list,,IROQUOIS MK2,,,,983,,,,1995,6
limited_list,,ISLE OF WIGHT SCOW,,,,1419,,,,1981,1
limited_list,202,ISO,2,S,A,928,,,,2025,25
limited_list,,J24,,,,935,,,,2011,5
limited_list,,J80,,,,876,,,,2011,5
limited_list,203,JAVELIN,2,S,C,928,,,,2025,38
limited_list,,JAVELIN 16,,,,927,,,,1986,4
limited_list,,JOLLYBOAT,,,,917,,,,1985,10
